"Title","Description","Priority","Estimate","Status","Labels"
"Password-less accounts: lazy set-password on first sign-in, plus admin invites","**Ticket:** AUTH-T22  
**Epic:** E3 Authentication Core  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T20 (Email infrastructure: Resend on a dedicated SGAuth sending domain with volume caps); AUTH-T17 (Email + password sign-in and self-sign-up restricted to northeastern.edu); AUTH-T103 (Scanner-safe email links: land on a page, consume the token on POST)

Imported accounts (Aplio OTP users, SenatePath, SenatePortal) and admin-created accounts exist with `emailVerified = true` (the source product or admin vouches for the address) and **no password**. Decision: no invite blast at import, so email volume spreads out and users who never return cost nothing.
- **Lazy set-password:** the login page asks for email first. If the account exists and has no password, SGAuth sends a one-time set-password link (valid 1 hour, consumed on form submit per AUTH-T103, rate-limited 3/hour per account) and shows the same 'Check your email' message it would show for an unknown address, so the flow reveals nothing about account existence. Setting the password logs the user in; the account keeps its UUID, so all product data stays attached.
- **Admin invite (optional):** admins can still push a set-password email to a specific user (for example a newly appointed officer who needs access before an event). Rate-limited 3/day per user; token valid 7 days.
- Self-sign-up with the email of a password-less account does not create a second account; it triggers the same set-password email.
- Admin UI shows these accounts as 'Password not set'.

**Acceptance criteria**
- [ ] A password-less account cannot log in with any password until one is set via the emailed link.
- [ ] Entering a password-less account's email on the login page sends exactly one set-password email and shows the same message as for an unknown email (enumeration test).
- [ ] Importing 500 password-less users sends zero emails.
- [ ] An admin can send an invite to one user; an expired link shows a request-new-link option.","Medium","2","Backlog","epic:auth-core, phase:2, backend, email, admin"
"Change password (current password + re-auth), revoke other sessions","**Ticket:** AUTH-T23  
**Epic:** E3 Authentication Core  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T17 (Email + password sign-in and self-sign-up restricted to northeastern.edu); AUTH-T32 (Re-authentication (sudo mode) for sensitive actions)

Authenticated users change their password by providing the current password; requires a fresh re-authentication (AUTH-T32). On success: update hash, set `passwordChangedAt`, revoke every other session, send a security notice, emit PASSWORD_CHANGED.

**Acceptance criteria**
- [ ] Wrong current password fails and counts toward account lockout.
- [ ] Other devices are logged out after change (integration test with two sessions).","Medium","2","Backlog","epic:auth-core, phase:2, backend, security"
"Admin-initiated email change with re-verification and privilege rules","**Ticket:** AUTH-T24  
**Epic:** E3 Authentication Core  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T36 (Admin user-management endpoints); AUTH-T20 (Email infrastructure: Resend on a dedicated SGAuth sending domain with volume caps)

Users cannot change their own email in v1 (identity anchoring). Admins can set a new email on a **non-admin** user; only the Primary Admin can change an admin's email; the Primary Admin's own email can be changed only by the Primary Admin. Every email change requires fresh re-authentication (AUTH-T32) so a hijacked session cannot redirect reset or transfer-cancel emails. The account keeps working with the old address until the user verifies the new one via a link sent to the new address (POST-consumed, AUTH-T103); a notice goes to the old address. Changing a `legacyEmail` account to a northeastern.edu address clears the flag. Audit EMAIL_CHANGE_REQUESTED / EMAIL_CHANGED.

**Acceptance criteria**
- [ ] Old address remains valid until verification; after verification the old address cannot log in.
- [ ] Attempting to change to an address already in use fails without revealing which account owns it.
- [ ] An admin cannot change another admin's or the PA's email (authz test); re-auth is required in every case.","Low","2","Backlog","epic:auth-core, phase:3, backend, admin"
"Login, sign-up, forgot/reset, and verify pages","**Ticket:** AUTH-T25  
**Epic:** E3 Authentication Core  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T17 (Email + password sign-in and self-sign-up restricted to northeastern.edu); AUTH-T18 (Email verification for self-sign-up with resend limits); AUTH-T19 (Password reset flow); AUTH-T31 (Safe post-login redirects validated against the product registry)

Build the public auth pages with shadcn/ui and react-hook-form + zod: `/login` (email, password, preserves redirect param, links to forgot and sign-up), `/sign-up` (northeastern.edu hint, name, password with live length feedback), `/forgot-password`, `/reset-password/[token]`, `/verify-email/[token]`, `/set-password/[token]` (invites), `/locked` (explains lock and unlock email). Map Better Auth error codes to friendly copy without leaking account existence. Show SGA branding and a one-line explanation that this login works across all SGA tools.

**Acceptance criteria**
- [ ] All pages are keyboard navigable, pass axe with no serious violations, and work at 360 px width.
- [ ] Wrong password and unknown email share the same copy; unverified, locked, and deactivated states have distinct copy only when shown to the account's own verified session or email link.
- [ ] After login the user lands on the validated redirect target or `/account`.","High","3","Backlog","epic:auth-core, phase:1, frontend, ui"
"Parent-domain session cookie for *.northeasternsga.com","**Ticket:** AUTH-T26  
**Epic:** E4 Sessions & SSO  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T03 (Install Better Auth 1.7 with the Prisma adapter and mount the handler)

Configure Better Auth cookies so a single session spans every SGA subdomain:
- `advanced.crossSubDomainCookies = { enabled: true, domain: 'northeasternsga.com' }` in production and dev; `advanced.cookiePrefix` = `sgauth` (production) and `sgauth-dev` (dev deployment) so the two environments never collide on the shared parent domain.
- `defaultCookieAttributes`: `httpOnly: true`, `secure: true`, `sameSite: 'lax'`, `path: '/'`. Production cookie name becomes `__Secure-sgauth.session_token`. `__Host-` is impossible with a Domain attribute; document why.
- `session.cookieCache` disabled (no `session_data` cookie) so revocation is immediate.
- `SGAUTH_ENV=preview` (SGAuth's own `*.vercel.app` previews): cross-subdomain cookies **disabled**, host-only cookie, so previews can log in at all.
- Local dev uses the topology from AUTH-T34. Validate the whole configuration early with the spike in AUTH-T104 (there are unresolved community reports of cross-subdomain cookies being set then dropped in some setups).
Document the threat model: any compromised or dangling `*.northeasternsga.com` host can read the cookie **and can set a same-named cookie on the parent domain** (cookie tossing / login CSRF: the victim is silently logged into an attacker-controlled account). Cookie values are signed so they cannot be forged, but `__Host-` cannot be used with a Domain attribute, so subdomain hygiene (AUTH-T68) is the control.

**Acceptance criteria**
- [ ] After login at auth.northeasternsga.com the browser holds one cookie with Domain=northeasternsga.com, Secure, HttpOnly, SameSite=Lax, and the `__Secure-` prefix.
- [ ] A request to a product stub on another subdomain carries the cookie and the session endpoint resolves it.
- [ ] Dev and production cookies coexist in one browser without interfering (different names).","Urgent","2","Backlog","epic:sessions, phase:1, backend, sso, security"
"Session lifetime: 30-day sliding, 90-day absolute cap, no cookie cache","**Ticket:** AUTH-T27  
**Epic:** E4 Sessions & SSO  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T10 (Core schema: User plus Better Auth Session, Account, and Verification tables); AUTH-T26 (Parent-domain session cookie for *.northeasternsga.com)

`session.expiresIn = 30 days`, `session.updateAge = 1 day` (sliding). Leave Better Auth's `freshAge` at its default: it gates Better Auth's own fresh-session endpoints and is **not** the re-auth mechanism (AUTH-T32 uses `lastReauthAt`). Absolute cap: set `absoluteExpiresAt = createdAt + 90 days` in `session.create.before`, reject sessions past it in the session endpoint, **and** have the daily retention job (AUTH-T78) delete any session whose `createdAt` is older than 90 days, because Better Auth's own endpoints (e.g. `/token`) do not run the custom check. Capture IP (from `x-forwarded-for` first hop on Vercel) and user agent. Sessions and JWTs are DB-backed; no cookie cache.

**Acceptance criteria**
- [ ] A session used daily is still valid on day 29 and invalid on day 91 (time-travel test), including at `/api/auth/token`.
- [ ] A session unused for 31 days is invalid.
- [ ] Session rows store IP and user agent for the account page.","High","2","Backlog","epic:sessions, phase:1, backend, sso"
"Session endpoint for products: user, email, positions, admin flags","**Ticket:** AUTH-T28  
**Epic:** E4 Sessions & SSO  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T27 (Session lifetime: 30-day sliding, 90-day absolute cap, no cookie cache); AUTH-T11 (Positions schema: Position, UserPosition, and retired keys)

Products resolve the shared cookie by calling SGAuth server-side. Implement `GET /api/sgauth/session` (a thin wrapper over Better Auth `getSession` plus the `customSession` plugin) returning:
```json
{ ""user"": { ""id"": ""uuid"", ""email"": ""..."", ""name"": ""..."", ""preferredName"": null, ""isAdmin"": false, ""isPrimaryAdmin"": false },
  ""positions"": [{ ""key"": ""vp-finance"", ""name"": ""Vice President of Finance"" }],
  ""session"": { ""id"": ""..."", ""expiresAt"": ""..."", ""absoluteExpiresAt"": ""..."", ""createdAt"": ""..."" } }
```
- 401 with `{ ""error"": ""unauthenticated"" }` when the cookie is missing, expired, revoked, past the absolute cap, or the user is deactivated.
- Positions read live from the DB (active, non-deleted), sorted by key.
- Headers: `Cache-Control: no-store`, `Vary: Cookie`. Accept the cookie via the `Cookie` header only (no query/body tokens).
- Also expose `GET /api/sgauth/session/minimal` returning only user id + positions for hot paths. Publish the JSON schema in the SDK.

**Acceptance criteria**
- [ ] Contract tests cover the 200 shape, 401 cases, position ordering, and that deactivation/revocation is reflected on the very next call.
- [ ] p95 latency under 120 ms from a Vercel function in the same region (measured against dev).
- [ ] Response never includes password hashes, tokens, or MFA secrets (schema assertion).","Urgent","3","Backlog","epic:sessions, phase:1, backend, sso, api"
"ES256 JWTs with JWKS and OIDC discovery for Supabase-backed products","**Ticket:** AUTH-T29  
**Epic:** E4 Sessions & SSO  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T28 (Session endpoint for products: user, email, positions, admin flags); AUTH-T15 (Security tables: AccountLock, UnlockToken, Jwks, TwoFactor)

Add the Better Auth `jwt` plugin configured for Supabase third-party auth:
- `jwks.keyPairConfig = { alg: 'ES256' }`; **automatic rotation disabled** (no `rotationInterval`). Supabase learns about a new key only when it re-fetches the JWKS (up to ~30 minutes), so an automatic rotation would reject fresh tokens for that window. Rotation is manual (annually or on incident) per the runbook in AUTH-T69: generate the new key, push the combined JWKS to every Supabase project via `custom_jwks`, then switch signing; keep the old key published for 7 days.
- `jwt.issuer = 'https://auth.northeasternsga.com'` (no trailing slash; discovery must resolve at `{issuer}/.well-known/openid-configuration`), `jwt.audience = 'authenticated'` (matches Supabase's own token convention so any audience check passes), `jwt.expirationTime = '10m'`, `getSubject = user.id` (UUID, required because Supabase `auth.uid()` casts `sub` to uuid). Private keys encrypted at rest (default).
- `definePayload`: `{ email, name, role: 'authenticated', positions: [keys], is_admin, is_primary_admin }`. Include the `kid` header (plugin default). `role: 'authenticated'` is required so Supabase maps the request to the `authenticated` Postgres role.
- Endpoints: `/api/auth/jwks` (plugin) and rewrites for `/.well-known/jwks.json` and `/.well-known/openid-configuration` (`issuer`, `jwks_uri`, `id_token_signing_alg_values_supported: ['ES256']`, minimal fields) so Supabase can be pointed at the issuer URL.
- Token endpoint `/api/auth/token` requires a valid session cookie (rate-limited in AUTH-T63).

**Acceptance criteria**
- [ ] A token from `/api/auth/token` verifies with `jose` against the JWKS with issuer and audience checks and contains `sub` (uuid), `role: 'authenticated'`, and `positions`.
- [ ] `/.well-known/openid-configuration` returns valid JSON with `jwks_uri` resolving to the live key set.
- [ ] After a manual rotation on dev, tokens signed by the previous key verify for 7 days and new tokens carry the new `kid`; the JWKS lists both keys during the overlap.
- [ ] Token size stays under 2 KB with 50 positions of 64 characters (test).","High","3","Backlog","epic:sessions, phase:2, backend, sso, supabase, jwt"
"Global logout, sign out everywhere, and admin revocation","**Ticket:** AUTH-T30  
**Epic:** E4 Sessions & SSO  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T26 (Parent-domain session cookie for *.northeasternsga.com); AUTH-T56 (Product registry service: trusted origins and redirect allowlist at runtime)

- `POST /api/auth/sign-out` deletes the current session row and clears the parent-domain cookie (same Domain/Path/prefix, `Max-Age=0`); every subdomain is logged out immediately because they share the cookie and the DB row is gone.
- `POST /api/sgauth/sessions/revoke-all` (user) revokes all sessions including the current one.
- Admin endpoint to revoke all sessions of a target user (AUTH-T36) with audit SESSIONS_REVOKED.
- `/logout?redirect=` convenience route for products: rejects requests whose `Sec-Fetch-Site` is `cross-site` (so an external page cannot log users out via an image or link), signs out, then redirects to a registry-validated URL (AUTH-T56) or to `/login`. Sibling subdomains are same-site and keep working.
Supabase-style JWTs already issued remain valid until their 10-minute expiry; document this in the Supabase guide.

**Acceptance criteria**
- [ ] After sign-out on one subdomain, the session endpoint returns 401 for a request from another subdomain using the same browser.
- [ ] `/logout?redirect=https://evil.example` redirects to `/login`, not the attacker URL.
- [ ] Admin revocation invalidates every session of the target within one request.","High","2","Backlog","epic:sessions, phase:1, backend, sso"
"Safe post-login redirects validated against the product registry","**Ticket:** AUTH-T31  
**Epic:** E4 Sessions & SSO  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T56 (Product registry service: trusted origins and redirect allowlist at runtime)

`/login?redirect=<url>` is the entry point every product uses. Validate: absolute `https://` URL whose origin exactly matches an active product's base URL origin (or SGAuth itself), or a relative path starting with `/` (not `//`). Strip fragments; cap length at 2 KB. Persist the redirect through sign-up, verification, and reset via a short-lived signed cookie rather than hidden form fields. Unknown or malformed targets fall back to `/account`.

**Acceptance criteria**
- [ ] Open-redirect test suite (protocol-relative, backslashes, userinfo tricks, unicode homographs, unregistered subdomains) all land on `/account`.
- [ ] A valid `https://vaultz.northeasternsga.com/purchases/42` survives login → verify → login and is honored.","High","2","Backlog","epic:sessions, phase:1, backend, security, sso"
"Re-authentication (sudo mode) for sensitive actions","**Ticket:** AUTH-T32  
**Epic:** E4 Sessions & SSO  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T27 (Session lifetime: 30-day sliding, 90-day absolute cap, no cookie cache); AUTH-T67 (TOTP multi-factor authentication (optional for users, required for admins and the Primary Admin))

Sensitive actions require proof of presence within the last 10 minutes: Primary Admin transfer steps, granting/revoking admin, changing password, changing any email, enrolling/disabling/resetting MFA, revoking all sessions, deleting/deactivating users. Implement `POST /api/sgauth/reauth` accepting password (and TOTP code if enrolled) that stamps `Session.lastReauthAt`; a `requireFreshAuth()` guard checks the stamp. This is independent of Better Auth's `freshAge` (left at default). The UI shows a modal to re-enter credentials when the guard fails (403 `REAUTH_REQUIRED`). Failed re-auth attempts count toward lockout.

**Acceptance criteria**
- [ ] Calling a sensitive endpoint 11 minutes after re-auth returns 403 `REAUTH_REQUIRED`; within 10 minutes it succeeds.
- [ ] Re-auth for an MFA-enrolled user requires both password and a valid TOTP.","High","3","Backlog","epic:sessions, phase:2, backend, security"
"List and revoke the user's own sessions","**Ticket:** AUTH-T33  
**Epic:** E4 Sessions & SSO  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T27 (Session lifetime: 30-day sliding, 90-day absolute cap, no cookie cache)

`GET /api/sgauth/sessions` returns the caller's active sessions (id, createdAt, lastActiveAt, ip, userAgent parsed to a friendly device string, isCurrent). `DELETE /api/sgauth/sessions/:id` revokes one of the caller's sessions. Audit SESSION_REVOKED.

**Acceptance criteria**
- [ ] A user cannot list or revoke another user's session (404, not 403, to avoid id probing).
- [ ] Revoking the current session also clears the cookie.","Medium","2","Backlog","epic:sessions, phase:2, backend"
"Non-production SSO topology: dev deployment, local hostnames, product preview domains","**Ticket:** AUTH-T34  
**Epic:** E4 Sessions & SSO  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T05 (Create the Vercel project, custom domains, environments, and Neon preview branching); AUTH-T26 (Parent-domain session cookie for *.northeasternsga.com)

A parent-domain cookie cannot be read by `*.vercel.app` previews or plain `localhost`, so define the non-production topology once:
- **Dev SGAuth**: `auth-dev.northeasternsga.com` (branch `dev`, Neon `dev` branch, cookie prefix `sgauth-dev`). Products point their preview and dev environments here. Because it is a production-looking login page on the trusted domain: persistent 'DEVELOPMENT ENVIRONMENT' banner on every page, `noindex`, synthetic users only (real user imports are never run against dev), and fully separate secrets (Better Auth secret, Resend key, Upstash namespace).
- **Product previews**: each product gets a stable branch domain like `<product>-dev.northeasternsga.com` (Vercel branch domain) so the dev cookie is shared; ad-hoc `*.vercel.app` previews cannot use SSO (document the limitation).
- **Local**: developers use `*.localhost` hostnames (Chrome resolves subdomains of localhost automatically; Firefox needs a preference) or hosts-file entries; SGAuth locally runs on `http://auth.sga.localhost:3000` with cookie domain `sga.localhost`, `secure: false`, no `__Secure-` prefix. Provide a `SGAUTH_ENV=local` switch that applies these settings. Browser handling of `Domain=<x>.localhost` cookies differs (Safari is the usual problem); the spike in AUTH-T104 confirms the local scheme or falls back to a hosts-file domain such as `sga.test`.
- **SDK dev mode**: the SDK accepts `SGAUTH_URL` and `SGAUTH_COOKIE_NAME` overrides so products target dev or local SGAuth. Write `docs/ENVIRONMENTS.md` with a table of URLs, cookie names, and Neon branches per environment.

**Acceptance criteria**
- [ ] A product stub running on `vaultz.sga.localhost:3001` sees a session created at `auth.sga.localhost:3000` (documented manual test plus a Playwright job in AUTH-T96).
- [ ] `docs/ENVIRONMENTS.md` exists and is linked from README and the integration guides.
- [ ] Production configuration cannot be started with a non-secure cookie setting (startup assertion).","High","3","Backlog","epic:sessions, phase:1, infra, sso, docs"
"Authorization module with the admin/Primary Admin rule matrix","**Ticket:** AUTH-T35  
**Epic:** E5 Admin & Primary Admin  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T10 (Core schema: User plus Better Auth Session, Account, and Verification tables); AUTH-T12 (Primary Admin invariants at the database level and the PrimaryAdminTransfer table)

Create `src/lib/authz.ts`: pure functions `can(actor, action, target)` used by every mutating endpoint. Rules:
- Only admins may perform admin actions; deactivated actors can do nothing.
- Admins may grant or revoke admin for **other** users freely; they can never change their **own** admin status or deactivate/delete themselves.
- Nobody except the transfer flow or break-glass may modify the Primary Admin's admin flag, status, PA flag, MFA, or email, or delete the account. The PA's positions and display name may be edited by any admin like any other user (accepted: an admin could strip the PA's product positions, which affects product access only, never SGAuth authority, and is audited).
- Email changes: admins may change non-admin users' emails; only the PA may change an admin's email; the PA changes their own. MFA reset: admins may reset non-admin and (only the PA) admin MFA; PA MFA reset is break-glass only.
- The Primary Admin may do everything an admin can, including changing other admins, and is the only one who can initiate a transfer.
- Position and product CRUD: any admin.
Return structured denials (`{ allowed: false, reason: 'SELF_MODIFICATION' | 'PRIMARY_ADMIN_PROTECTED' | 'NOT_ADMIN' | ... }`). UI hides controls using the same function, but enforcement is server-side only.

**Acceptance criteria**
- [ ] Table-driven unit tests enumerate actor ∈ {user, admin, primary admin, deactivated admin} × target ∈ {self, other user, other admin, primary admin} × action ∈ {grantAdmin, revokeAdmin, deactivate, delete, assignPosition, initiateTransfer} with expected results; 100% branch coverage of `authz.ts`.
- [ ] Every mutating route imports `can()`; an ESLint rule or test asserts no admin route lacks the guard.","Urgent","3","Backlog","epic:admin, phase:2, backend, admin, security"
"Admin user-management endpoints","**Ticket:** AUTH-T36  
**Epic:** E5 Admin & Primary Admin  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T35 (Authorization module with the admin/Primary Admin rule matrix); AUTH-T13 (Append-only AuditEvent table); AUTH-T32 (Re-authentication (sudo mode) for sensitive actions); AUTH-T22 (Password-less accounts: lazy set-password on first sign-in, plus admin invites)

Server actions or route handlers under `/api/sgauth/admin/users`: list/search (by email, name, position, status, admin flag; paginated), get, create (invite), update name/preferredName, deactivate (revokes all sessions immediately), reactivate, delete (= tombstone: status DELETED, PII scrubbed, sessions/accounts/MFA/positions removed, id retained), grant admin, revoke admin, revoke all sessions, unlock account, reset MFA (per the authz rules; emails the user), resend invite, force re-login. Every call passes `can()`, requires fresh re-auth for grant/revoke admin, deactivate, delete, and MFA reset, and emits an audit event with actor, target, and diff. Deactivation/deletion of the PA and self-modification are refused with the authz reason.

**Acceptance criteria**
- [ ] Integration tests for every endpoint including denials (self-modify, PA-protected, non-admin, deactivated actor).
- [ ] Deactivating a user with three active sessions leaves zero sessions and their next product request returns 401.
- [ ] Each mutation produces exactly one audit row with the expected type and metadata.","High","5","Backlog","epic:admin, phase:2, backend, admin, api"
"Primary Admin transfer flow (re-auth, recipient acceptance, 24-hour cancel window)","**Ticket:** AUTH-T37  
**Epic:** E5 Admin & Primary Admin  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T12 (Primary Admin invariants at the database level and the PrimaryAdminTransfer table); AUTH-T35 (Authorization module with the admin/Primary Admin rule matrix); AUTH-T32 (Re-authentication (sudo mode) for sensitive actions); AUTH-T20 (Email infrastructure: Resend on a dedicated SGAuth sending domain with volume caps); AUTH-T67 (TOTP multi-factor authentication (optional for users, required for admins and the Primary Admin)); AUTH-T103 (Scanner-safe email links: land on a page, consume the token on POST); AUTH-T38 (Scheduled-job runner: GitHub Actions schedules calling secret-protected routes)

Implement the guarded transfer as a state machine over `PrimaryAdminTransfer`:
1. **Initiate** (PA only, fresh re-auth, recipient must be an active admin with MFA enrolled, PA must type the recipient email exactly): creates PENDING_ACCEPTANCE (expires in 7 days), emails recipient (accept link) and PA (confirmation), audit PA_TRANSFER_INITIATED.
2. **Accept** (recipient only, fresh re-auth): moves to COOLING, sets `executesAt = now + 24h`, generates a cancel token emailed to the outgoing PA (and shown in-app), emails both, audit PA_TRANSFER_ACCEPTED.
3. **Cancel**: outgoing PA (in-app with re-auth, or via the emailed cancel link without login — the link opens a page with a Cancel button; the token is consumed on POST, AUTH-T103), or recipient declines; status CANCELLED, both emailed, audit PA_TRANSFER_CANCELLED. The accept link likewise lands on a page requiring login + re-auth before acting.
4. **Execute** (scheduler, AUTH-T38): when `executesAt` has passed and status is COOLING, in one transaction with the DB session variable set: clear PA on the old user, set it on the recipient, keep both as admins, revoke all sessions of both users (forces re-login with correct claims), status COMPLETED, emails to both and to every admin, audit PA_TRANSFER_COMPLETED.
5. **Expire**: PENDING_ACCEPTANCE older than 7 days → EXPIRED, emails PA.
Exactly one in-flight transfer is allowed. If the recipient loses admin or is deactivated mid-flight, the transfer is cancelled automatically.

**Acceptance criteria**
- [ ] State-machine tests cover every transition and every illegal transition (e.g. accept by a third party, cancel after completion, initiate while one is in flight).
- [ ] The emailed cancel link works without a session and is single-use.
- [ ] After execution there is exactly one PA, both parties are admins, and both must log in again.
- [ ] Recipient deactivation during COOLING cancels the transfer and notifies the PA.","High","5","Backlog","epic:admin, phase:2, backend, admin, security, email"
"Scheduled-job runner: GitHub Actions schedules calling secret-protected routes","**Ticket:** AUTH-T38  
**Epic:** E5 Admin & Primary Admin  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T05 (Create the Vercel project, custom domains, environments, and Neon preview branching); AUTH-T07 (Validate environment variables at startup with zod)

Vercel Hobby limits cron to two jobs at once-per-day and rejects finer schedules at deploy time, so **no Vercel cron is used**. Instead, a GitHub Actions workflow in the auth repo (same pattern Chambers uses) runs on schedules and calls `GET /api/jobs/<name>` with `Authorization: Bearer $CRON_SECRET` (repo secret = Vercel env):
- `pa-transfer` every 15 minutes: executes due COOLING transfers and expires stale PENDING_ACCEPTANCE ones, idempotently (row-level lock, status re-check inside the transaction).
- `alerts` every 15 minutes (AUTH-T77).
- `retention` daily (AUTH-T78).
Each route is idempotent, logs outcomes, and returns quickly (under the function timeout); Actions schedules can be delayed several minutes under load, which is acceptable for these jobs. A missed run is caught by the next.

**Acceptance criteria**
- [ ] Running the transfer job twice concurrently executes the transfer once (test with a simulated race).
- [ ] Requests without the correct bearer secret return 401 and do nothing.
- [ ] Workflow file exists with the three schedules; `vercel.json` contains no `crons`.","High","2","Backlog","epic:admin, phase:1, backend, infra, ci"
"Break-glass Primary Admin recovery script and runbook","**Ticket:** AUTH-T39  
**Epic:** E5 Admin & Primary Admin  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T12 (Primary Admin invariants at the database level and the PrimaryAdminTransfer table); AUTH-T13 (Append-only AuditEvent table)

`scripts/recover-primary-admin.ts` run by a human with production Neon credentials (`npm run recover-primary-admin -- --email new-pa@northeastern.edu --reason ""...""`). It: verifies the target user exists and is active; prompts for the confirmation phrase `TRANSFER PRIMARY ADMIN`; inside one transaction with the DB session variable set, moves the PA flag, ensures the new PA is admin, revokes all sessions of the previous PA; writes an AuditEvent with `actorType = BREAK_GLASS` and the operator's name/reason; emails every admin and the old PA address. Supports `--dry-run`. A second mode, `--reset-mfa --email <pa>`, clears the current PA's TOTP and backup codes (for the lost-phone-and-lost-codes case, since admins cannot touch PA MFA) and forces re-enrollment on next login. No HTTP endpoint exists for either. Write `docs/runbooks/break-glass.md`: when to use it, who holds credentials (at least two people), and how to verify afterwards.

**Acceptance criteria**
- [ ] Dry run prints the plan and changes nothing; real run leaves exactly one PA and an audit row of type BREAK_GLASS_PA_RECOVERY.
- [ ] Script refuses to run without `DIRECT_URL` and the confirmation phrase.
- [ ] Runbook reviewed by the current Primary Admin.","High","3","Backlog","epic:admin, phase:2, backend, admin, security, docs"
"Primary Admin protection tests across API and database layers","**Ticket:** AUTH-T40  
**Epic:** E5 Admin & Primary Admin  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T12 (Primary Admin invariants at the database level and the PrimaryAdminTransfer table); AUTH-T36 (Admin user-management endpoints)

Integration tests proving the PA cannot be deleted, deactivated, banned, stripped of admin, or have the PA flag removed via any admin endpoint, Better Auth admin plugin endpoint (if mounted), or direct SQL from the runtime role; and that the PA is subject to account lockout but can self-unlock via the emailed link.

**Acceptance criteria**
- [ ] All listed attack paths fail with the expected error at the API layer and, when bypassed, at the DB trigger.
- [ ] Lockout/unlock test for the PA passes.","High","2","Backlog","epic:admin, phase:2, testing, admin, security"
"Bulk user import (CSV) with position assignment and batched invites","**Ticket:** AUTH-T41  
**Epic:** E5 Admin & Primary Admin  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T36 (Admin user-management endpoints); AUTH-T43 (Position assignment endpoints (assign, unassign, bulk))

Admin endpoint + UI to upload a CSV (`email,name,positions` where positions is a `|`-separated list of keys). Validates rows (email format, known keys), previews the diff (new users, existing users, position changes), then applies: creates users as password-less accounts (AUTH-T22), assigns positions, and sends no email by default; an optional 'send set-password emails now' checkbox queues invites in batches under the mailer caps (AUTH-T20). Produces a downloadable report. Audit BULK_IMPORT with counts.

**Acceptance criteria**
- [ ] A 200-row CSV with 5 invalid rows shows the 5 errors and imports nothing until fixed (all-or-nothing) or with an explicit 'skip invalid' toggle.
- [ ] Re-importing the same CSV is idempotent (no duplicate users or assignments).","Medium","3","Backlog","epic:admin, phase:2, backend, admin, migration"
"Positions CRUD: create, edit name/category, soft delete with retirement","**Ticket:** AUTH-T42  
**Epic:** E6 Positions  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T11 (Positions schema: Position, UserPosition, and retired keys); AUTH-T35 (Authorization module with the admin/Primary Admin rule matrix); AUTH-T13 (Append-only AuditEvent table)

Admin endpoints: create (key + name + optional category/description; key validated, uniqueness checked against active and retired-within-365-days keys), update (name/category/description only; key immutable), delete (soft; returns holder count first via a preflight, requires the admin to send `confirmKey` equal to the key; on delete: set `deletedAt`, write RetiredPositionKey, keep UserPosition rows, emit POSITION_DELETED with holder ids). Audit every change with before/after. List endpoint supports including deleted for history views.

**Acceptance criteria**
- [ ] Renaming changes `name` only; the key and all holders are untouched (test asserts session output before/after).
- [ ] Delete without the matching `confirmKey` is refused; with it, holders lose the position on the next session call.
- [ ] Creating a key retired 100 days ago fails with `KEY_RETIRED`; 400 days ago succeeds.","High","3","Backlog","epic:positions, phase:2, backend, positions, api"
